place_id,user_ratings_total,rating
ChIJYf5MZokPZ0gR98s5sJ9hwLY,156,4.8
ChIJAejEt8cPZ0gRbn5qRXWByqo,102,4.4
ChIJLS-JwcMPZ0gRyhLX3dZV4Dk,40,4.3
ChIJBUlTFGQNZ0gRU_nh9HA4Mk0,26,4.6
ChIJFWWY5YwOZ0gR1R9uA9-D-oA,1592,4.5
ChIJjbW_WXUMZ0gRM1qTkwloir4,244,3.7
ChIJw1zhLlcNZ0gRqBz4_gMdajM,530,3.8
ChIJ__MgTGkOZ0gROuaM_U3IDpw,811,4.3
ChIJ9Ye_2CsPZ0gRqZ8_WFGCL8E,235,2.8
ChIJC9CvcEUNZ0gRRzoICeKtt6A,18,4.3
ChIJTeqDU6UPZ0gRQ_zGWrewO-w,61,4.9
ChIJz9JEWYEOZ0gRayyKaCxIkGQ,39,2.7
ChIJq-QRDCsNZ0gRVGvU0JEzWKI,58,4.2
ChIJy51UCjgPZ0gR7c-TxLcxpA8,605,4.6
ChIJ30WNP3UNZ0gRSFLhjK_x214,17,3.8
ChIJCXWbz2QOZ0gR11aajvkPqxo,1064,4.4
ChIJMd2SVo8OZ0gRPOy87KBCGTQ,500,3.9
ChIJ7RYRBu8NZ0gR454AM6Q3jkY,78,3.5
ChIJc4I-UBUNZ0gRtjg0ezLjh-8,93,4.2
ChIJ33AqbncPZ0gRJPEcwvUPLOM,233,4.9
ChIJfQhlmxgMZ0gRaq6ra7D-25E,523,3.6
ChIJvw-S25wOZ0gRAwqvUpozDik,4214,4.5
ChIJLzxHTYYOZ0gRdx_6zjuCnes,1144,4.2
ChIJe7DNdI0OZ0gR877GyIDDlXw,1028,4.3
ChIJS-QP5Z8OZ0gRNeLM-2yXaGA,2523,4.3
ChIJA-qVps4PZ0gRr8EsLQoxJ-4,2,5
ChIJVVVRxL0OZ0gRhcaTCx1Onko,751,4.8
ChIJNcJNRWkOZ0gRVHN6psdyX1c,249,4.4
ChIJmVw5-GcNZ0gRQCyKtOhE-j8,91,4
ChIJo-AK0Z8OZ0gRPRsrzYcwgiU,2348,4.3
ChIJo49C3lsOZ0gRY7-sFRfNWXM,383,4.3
ChIJlbjHFrQNZ0gRwXQy7VjWERU,80,4.2
ChIJK6-ZudoPZ0gRpO-8ZLNqMao,529,4.5
ChIJDbZY2a4NZ0gRwHP2p-vMpSo,76,4.6
ChIJQQRyylwLZ0gRQW6kROdJwS0,26,4.4
ChIJe6OozsYOZ0gRFo8B5s4ld_g,276,4.8
ChIJTyyLUGgPZ0gRklwb1G2hID0,282,4.3
ChIJWeIccAAPZ0gRCh2RHOW8vHQ,180,4.6
ChIJ9-bPjh0MZ0gRkDOA8ZHpyn0,196,3.8
ChIJ2YGzdKAOZ0gRTmbon_B4nlo,780,4.2
ChIJVTB_DAANZ0gROmf0irEVH0Y,103,4.8
ChIJtQohPLUJZ0gRWRjA1aR8JHw,152,4
ChIJBR4Vw4UOZ0gRxUFHOMpSVss,572,4
ChIJjbY11xcNZ0gRcQQrTque8VU,26,4.6
ChIJ1Q9VLgAPZ0gRMsjRP53iVFc,2,4.5
ChIJMRsH61INZ0gRLRMhj7iN3CA,442,4.6
ChIJodr_3T8MZ0gR_hK-b0jX73E,474,3.8
ChIJG_mYgLoPZ0gRh8hLnN1Fm9U,47,4.2
ChIJGVdv6K8NZ0gRNZz7Bb70nuA,50,4.5
ChIJE7I4yoIOZ0gRMST5XljG4p4,1874,4.3
ChIJDSkyvt0PZ0gRMo_aTentl90,92,4.8
ChIJpclVMzQPZ0gRGIt7FnSWzkY,476,4.8
ChIJNx9jcJsOZ0gRRHRing65xQc,1931,4.3
ChIJzTyUHAAPZ0gRUcZZqFZELUA,91,4.8
ChIJLUem-P4JZ0gRnaRvWK_Zhis,147,4.7
ChIJQ-vndSIMZ0gR2TqGniIe2d0,129,4.1
