place_id,lng,lat
ChIJ4613K_gNZ0gR8pBOhAmPckc,-6.2651764,53.3266123
ChIJwSV03eAPZ0gRSVBBQXMSUJI,-6.2655564,53.3473871
ChIJYXiyLoQOZ0gRWpbfNReD6K8,-6.2595284,53.3506299
ChIJw4XlvmoMZ0gRGQcXN-CBy80,-6.294754,53.331696
ChIJ4TrF7SMNZ0gRTQXVAM5vFDo,-6.2749051,53.3334165
ChIJ8XtpTuYPZ0gRMvS4YzcWpx8,-6.243809,53.3335975
ChIJxYp672QPZ0gRllZOuZUcUvw,-6.2659703,53.3507229
ChIJ969dN4QOZ0gRL6CWk95jQ-s,-6.2596435,53.3498224
ChIJg1Bez0APZ0gRR9JjRtKRWS0,-6.2654731,53.3474978
ChIJ74xUB7oNZ0gRG_MRUKYaY0c,-6.2653207,53.3255053
ChIJzTIQ0TENZ0gRN-_L1atDdOc,-6.2737769,53.3349713
ChIJk7Wf84QPZ0gRPNUdoC7aRNU,-6.2615033,53.3462635
ChIJTbeNJmAPZ0gRdOqgo2T9nmM,-6.2456422,53.2937967
ChIJ_0B-8ZsOZ0gRaw56Nz6XUh8,-6.2672187,53.3502962
ChIJYdlKHBAPZ0gRTDlWOBBaROI,-6.2682967,53.3476694
ChIJT-3K6s0NZ0gRw4_2I79z_18,-6.2885533,53.3574973
ChIJHdQJQCYPZ0gR3xQFK3hZQ5A,-6.2586621,53.3536119
ChIJrxft_E4PZ0gRNel2aTf8_4A,-6.2567967,53.339108
ChIJ-W02KYQOZ0gRReFEYj4kpI0,-6.2595284,53.3506299
ChIJ63Hd5YYOZ0gR9tTzRQ_fy5Y,-6.2608917,53.3530306
ChIJm9w4hNANZ0gR8azS99PPX9g,-6.2660765,53.3342107
ChIJ-X5DeP8PZ0gRFZGruADS54s,-6.2656317,53.3451159
ChIJW0qfmWgPZ0gRbS2V0We8Hv8,-6.2674581,53.3444135
ChIJEzjjE3gOZ0gR1auHlsitmFQ,-6.2714323,53.3655642
ChIJ0ZTtgdgPZ0gRpxUa4Icu0eA,-6.2635765,53.3431101
ChIJITOtSwAPZ0gR7AodfdFZXIs,-6.272328,53.3637638
ChIJxR5wtMwPZ0gR8Xrlh9drTPY,-6.2671736,53.3444685
ChIJUcAzNMMPZ0gRCVe4ICwIDuY,-6.2633825,53.347488
ChIJ1elcqs8NZ0gRlAWmED3-Z1s,-6.2898684,53.3630661
ChIJr6dSncAPZ0gRcPFcbgVW8nU,-6.2618885,53.3431998
ChIJe1T-580NZ0gR1qkP8ew7KhQ,-6.2874491,53.359383
ChIJ9w60yqoPZ0gRPVC9KtEWHqY,-6.2587797,53.3414809
ChIJRelUNpwOZ0gR4TBZ01H2wjU,-6.2631518,53.3411052
ChIJpwi-UKENZ0gRCGMItvfvAoE,-6.2748101,53.3335959
ChIJpSu8nGAOZ0gRSRvKgMOAbzo,-6.2476817,53.3579145
ChIJm5Q_vFoDGTkRhAQLdRi0BaQ,74.2739927,31.4931483
ChIJ42xZnKAOZ0gRKibHfoA3Stk,-6.2646253,53.3308759
ChIJRyJAU4YOZ0gRcbfuyNZ4v7M,-6.2589655,53.353485
ChIJMZ0-mfMPZ0gR_w1dg6TCl6o,-6.2644597,53.3337812
ChIJ6wpYGtgNZ0gRxrcdQ31l7qM,-6.3708439,53.3557356
ChIJhb4yyhcNZ0gRBCvsLGfV3Oo,-6.2944283,53.3481906
ChIJs4hmVToPZ0gRDwb4f-OghJ0,-6.2476101,53.3579688
ChIJGeCYgQcPZ0gR_x_yolT9odM,-6.2592289,53.3594716
ChIJ50xlHaEOZ0gR8RIzcNCz2Q8,-6.2612597,53.3310092
ChIJi6xGXAANZ0gRIdZGNLqJhTw,-6.278601,53.348276
ChIJb0fg0OwJZ0gRtAFFCSSRXQY,-6.2002257,53.2890867
ChIJP6_mkTIMZ0gRIaRm3tc-0pU,-6.2853664,53.3530472
ChIJm_SYMp0NZ0gRpsHw3jsfWsA,-6.2821804,53.3506438
ChIJQ1sBkWcEYUgRZeVywaSUikU,-6.0474122,54.511518
ChIJVzGjvt0PZ0gR6TEZHtas74A,-6.2628872,53.3312267
ChIJT6J4MSIPZ0gRVJUCr5G6TUs,-6.2432441,53.3496113
ChIJ4cljHKkPZ0gROo47wkV1NVQ,-6.255403,53.3507592
ChIJk0c2bzYMZ0gRZYWoJJy2tWc,-6.2944505,53.3482156
ChIJQT_v7XoPZ0gRxf_ZYI88Jow,-6.2613945,53.3529007
ChIJ5-flOdwNZ0gRpM05zg9cr2w,-6.2826858,53.3382878
ChIJ8TnNYZwOZ0gRix3vKQ2vacY,-6.2619808,53.342846
ChIJYUaj-VMNZ0gRO6ir3oQMcNo,-6.2689874,53.3437352
ChIJA1dp3IUNZ0gRiddvKCSU8tQ,-6.288049,53.3559921
ChIJgQ4icKAOZ0gRDgjyXwQrjRQ,-6.2646608,53.3308013
ChIJH0SvAFkMZ0gRZhdOILmBkbM,-6.3193438,53.3396372
ChIJCdymf68PZ0gRn1JyaCYRUcc,-6.2628761,53.345149
ChIJYUjiG34OZ0gRwOKOV1Pfb0E,-6.2651807,53.3563873
ChIJBcjAcvsNZ0gRQUSBJh2-wrk,-6.2816488,53.3501907
ChIJy8x0plMNZ0gR2xya3MgmnqI,-6.2658151,53.3226717
ChIJkw9kYPkNZ0gRNKPoiutsV9k,-6.2795595,53.351261
ChIJMX4OWwANZ0gRWCS3xRd5uhA,-6.2826968,53.350969
ChIJnQZz4IoPZ0gR1gaZGzDmaRU,-6.2616815,53.3480637
ChIJ8wI8Ef8NZ0gRibnjo4Wbj2s,-6.2724655,53.3623917
ChIJl7rO-8UPZ0gR9rN8mRNq-TM,-6.2628752,53.3424142
ChIJ3yB03IIPZ0gRTch7rrjRR4o,-6.2591738,53.3536803
ChIJdS86sUYNZ0gRqyLWBp4nXd8,-6.2946799,53.3316875
ChIJ9WuBIcMJZ0gRiybl0zJSFCk,-6.2426728,53.2688528
ChIJASShCH4OZ0gRSbpY0G6Dr3A,-6.2642525,53.3568027
ChIJw1sI5dUNZ0gRkfeyHqLJW8s,-6.272874,53.360521
ChIJS3W__pcNZ0gRpgj6bQsbPjM,-6.2658108,53.3225172
ChIJfUC7s-QPZ0gRnvkOlkKNBrU,-6.2654237,53.3228408
ChIJCycOu2sOZ0gReLPAdi1Pt-0,-6.2555645,53.3257241
ChIJyZMjyo4OZ0gRvdzeWdftFH8,-6.250477,53.3511038
ChIJH4Gy46APZ0gRaxNrFKWqrA4,-6.2668206,53.3443363
ChIJXTqvOwIMZ0gRnZX4geAhRVE,-6.2645881,53.3190891
ChIJbVh4zJAPZ0gR2EA8G7deIHU,-6.2641668,53.3305849
ChIJZctAOwANZ0gRGlcorBCU91M,-6.2699811,53.3508603
ChIJq6r6HwMMZ0gRNn8WPsB-L0c,-6.2664781,53.322153
ChIJOaHLC0kNZ0gRs1XPHyYDrew,-6.2889814,53.3575035
ChIJj8V8ixgMZ0gR77vLmr0ZE3A,-6.2754048,53.3326543
ChIJtbgr-yYPZ0gRSwPsKUAsDiY,-6.2559502,53.3483313
ChIJhRkk34IOZ0gRpvt2yIVIr9Q,-6.2651204,53.3463952
ChIJj859AF8OZ0gRJJtG6Qm8-AU,-6.240049,53.359935
ChIJ__xdW1wOZ0gRl0kzXTNyzVg,-6.239368,53.3649281
ChIJ_5xOSZ4PZ0gRib-dAdg8JV0,-6.2654965,53.3374577
ChIJ8RNWjdwNZ0gR0P0MiketL-4,-6.2988531,53.3370653
ChIJoxQHotkPZ0gRDI0z1C1MhLo,-6.264168,53.3305803
ChIJfQkG-msPZ0gRR2LQqETorG8,-6.2592675,53.3411618
